idiom,num_contexts,contexts
Marear la perdiz,0,
Más vale pájaro en mano que ciento volando,0,
Matar dos pájaros de un tiro,0,
Matar el gusanillo,0,
Matar el tiempo,0,
Matar moscas a cañonazos,0,
Matarlas callando,0,
Me las vi y me las deseé,0,
Mear fuera de tiesto,0,
Mear y no echar gota,0,
Medir tus palabras,0,
Menos da una piedra,0,
Mentar la soga en casa del ahorcado,0,
Meter caña,0,
Meter cucharada,0,
Meter en cintura,0,
Meter en vereda,0,
Meter la gamba,0,
Meter la nariz donde no te llaman,0,
Meter la pata,0,
Meter la tijera,0,
Meter una puñalada trapera,0,
Meterse en camisa de once varas,0,
Meterse en la boca del lobo,0,
Meterse en un berenjenal,0,
Meterse en un charco,0,
Meterse en un jardín,0,
Mezclar churras con merinas,0,
Mirar con ojos de carnero degollado,0,
Mirar los toros desde la barrera,0,
Mirar para otro lado,0,
Mirar por el rabillo del ojo,0,
Mirar por encima del hombro,0,
Molar mazo,0,
Moler a palos,0,
Montar en cólera,0,
Montar un circo y que te crezcan los enanos,0,
Montar un cirio,0,
Morder el anzuelo,0,
Morder el polvo,0,
Morderse la lengua,0,
Morir con las botas puestas,0,
Morir en el intento,0,
Mover los hilos,0,
Música para mis oidos,0,
Nadar contra corriente,0,
Nadar en la abundancia,0,
Nadar entre dos aguas,0,
Nadar y guardar la ropa,0,
Nadie da duros a cuatro pesetas,0,
Ni hablar del peluquín,0,
No andarse con chiquitas,0,
No cabe ni un alfiler,0,
No callar ni debajo del agua,0,
No carburar bien,0,
No comerse un rosco,0,
No dar abasto,0,
No dar el brazo a torcer,0,
No dar golpe,0,
No dar ni chapa,0,
No dar palo al agua,0,
No dar pie con bola,0,
No dar puntada sin hilo,0,
No decir ni pio,0,
No dejar a alguien ni a sol ni a sombra,0,
No dejar títere con cabeza,0,
No doler prendas,0,
No echar la vista atrás,0,
No es de recibo,0,
No es moco de pavo,0,
No es para tirar cohetes,0,
No es un jardín de rosas,0,
No está el horno para bollos,0,
No estar católico,0,
No estar fino,0,
No gano para sustos,0,
No haber nacido ayer,0,
No hacerse mala sangre,0,
No hay más cera que la que arde,0,
No hay moros en la costa,0,
No hay ni un alma,0,
No hay por donde cogerlo,0,
No hay tutía,0,
No lanzar las campanas al vuelo,0,
No llegar la sangre al río,0,
No llegarle a alguien a la suela de los zapatos,0,
No me fío un pelo,0,
No mover un dedo,0,
No pega ni con cola,0,
No pegar ojo,0,
No pegar sello,0,
No pintar nada,0,
No poder cerrar ojo en toda la noche,0,
No querer ver a alguien ni en pintura,0,
No rascar bola,0,
No saber ni papa,0,
No ser capaz de matar una mosca,0,
No ser chicha ni limonada,0,
No ser nada del otro jueves,0,
No ser ni carne ni pescado,0,
No siempre llueve a gusto de todos,0,
No soltar prenda,0,
No te arriendo las ganancias,0,
No tener corazón,0,
No tener donde caerse muerto,0,
No tener ni para pipas,0,
No tener ni pies ni cabeza,0,
No tener pelos en la lengua,0,
No tener sangre en las venas,0,
No tocar con los pies en el suelo,0,
No ver tres en un burro,0,
Nos están meando y dicen que llueve,0,
Oir tocar campanas,0,
"Ojos que no ven, corazón que no siente",0,
Oler a chamusquina,0,
Oler a rayos,0,
Pagar a escote,0,
Pagar el pato,0,
Pagar los platos rotos,0,
Para parar un tren,0,
Parar en seco,0,
Parar los pies,0,
Partir la cara,0,
Partir peras,0,
Partirse de risa,0,
Partirse el pecho,0,
Pasar de castaño a oscuro,0,
Pasar factura,0,
Pasar la noche en blanco,0,
Pasar la noche en vela,0,
Pasar las de Caín,0,
Pasar página,0,
Pasar por alto,0,
Pasar por encima,0,
Pasarlas canutas,0,
Pasarle a alguien una patata caliente,0,
Pasarse de frenada,0,
Pasarse de la raya,0,
Pasarse de rosca,0,
Pasarse tres pueblos,0,
Pedir peras al olmo,0,
Pedir tiempo muerto,0,
Pegarse las sábanas,0,
Peinar canas,0,
